AgeOfMajority	成人年齢
AgriculturalChemicals	農薬
AnticancerDrug	抗がん剤
BabyHatch	赤ちゃんポスト
BioEthanol	バイオエタノール
BioEthanolEnvironment	バイオエタノールは環境に良い
CapitalFunctionRelocation	首都機能移転
Catechin	カテキン
CitizenJudgeSystem	裁判員制度
CloningTechnology	クローン技術
ConsumptionTax	消費税
CoolBiz	クールビズ
CopyrightLaw	著作権法
DeathPenaltySystem	死刑制度
DeepSeaWater	海洋深層水
DietFood	ダイエット食品
DraftSystem	ドラフト制度
EarmarkedFundsForRoads	道路特定財源
EarthquakeEarlyWarning	緊急地震速報
ElectrolyzedReducedWater	還元水
ElectronicGovernment	電子政府
ElectronicMoney	電子マネー
ElectronicVoting	電子投票
FastFood	ファーストフード
Gargle	うがいの効果
GenericDrugs	ジェネリック医薬品
IPTelephone	ＩＰ電話
IPod	ｉＰｏｄ
Isoflavone	イソフラボン
LasikOperation	レーシック手術
LifetimeEmployment	終身雇用
LongTermCareInsurance	介護保険制度
NationalAchievementTest	全国学力テスト
NetAuction	ネットオークション
NuclearPowerPlant	原子力発電
Patent	特許制度
PensionPlan	年金制度
PostalPrivatization	郵政民営化
RaNukiKotoba	ら抜き言葉
RelaxedEducation	ゆとり教育
ResalePriceMaintenance	再販制度
ResidentRegistryNetwork	住基ネット
SecondLife	セカンドライフ
SeparateSurnames	夫婦別姓
Steroid	ステロイド剤
SummerTime	サマータイム制
SyntheticDetergent	合成洗剤
TDB	地上デジタル放送
UniversalStudioJapan	ユニバーサル・スタジオ・ジャパン
WhiteCollarExemption	ホワイトカラーエグゼンプション
WindowsVista	Ｖｉｓｔａ
Xylitol	キシリトール
